ID	Status	Rzeczywisty rezultat	Waga	Zrzut ekranu	Reprodukcja
INST-01	PASS	"Znaleziono: 2. Pierwszy wiersz: ""Akademia Bialska im. Jana Pawła II"""	-	-	-
INST-02	PASS	"Klik IC → URL updated do ?roles=1, Znaleziono: 579 (spadek z 2605), chip ""Instytucja certyfikująca (IC)"" widoczny"	-	-	-
INST-03	PASS	"Klik ""wolnorynkowe"" → URL updated do ?qualification_categories=5, Znaleziono: 202, chip ""wolnorynkowe"" widoczny"	-	-	-
INST-04	PASS	"Wpisanie ""Warszawa"" w combobox → autocomplete pokazał 1 opcję → klik na nią → URL updated do ?cities=Warszawa, Znaleziono: 350, chip ""Warszawa"" widoczny"	-	-	-
INST-05	PASS	"Klik w link ""Akademia Bialska im. Jana Pawła II"" → nawigacja do /wyszukiwarka-instytucji/instytucje/Akademia-Bialska-im.-Jana-Pawła-II,30657. Profil renderuje: heading H1 z pełną nazwą, ~44kB treści, kluczowe pola NIP/KRS + adres siedziby widoczne"	-	-	-
INST-06	PASS	"URL ?search=Akademia&roles=1&cities=Warszawa → Znaleziono: 30 (mniejsza niż każdy filtr osobno: 571 dla search, 579 dla IC, 350 dla Warszawa — potwierdza AND-logic), 3 chipy ""Aktywnych filtrów"", pierwszy wiersz ""Akademia Finansów i Biznesu Vistula"" (Warszawa + IC + Akademia)"	-	-	-
INST-07	PASS	"Search ""xyzq-nonexistent"" → licznik Znaleziono: 0, tabela renderuje 1 wiersz ""Brak danych"", brak console errors"	-	-	-
INST-08	PASS	"Bundled query `""akademia"" Łódź` → Znaleziono: 45, pierwszy wynik to ""Akademia Humanistyczno-Ekonomiczna w Łodzi"". Backend obsłużył: cudzysłowy w URL, case-insensitive dla ""akademia"", diakrytyki w ""Łódź"""	-	-	-
INST-09	PASS	"URL z payloadem <script>alert(1)</script> → JavaScript NIE wykonany, search input pokazuje literalny tekst payloadu, Znaleziono: 0, ""Brak danych"", `document.body.innerHTML.includes('<script>alert')` = false (React automatycznie escape'uje treść przez text nodes)"	-	-	-
INST-10	FAIL	"51 z 53 interaktywnych elementów ma accessible name (OK). 2 elementy typu `<span tabindex=""0"" role=""button""><svg .../></span>` nie mają aria-label — screen reader ogłosi ""button"" bez wyjaśnienia funkcji. Elementy zidentyfikowane w shadow DOM #qualifications-container"	Medium	screenshots/INST-10-svg-buttons-no-aria.png	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0 2) DevTools → shadow-root #qualifications-container → query 'span[role=""button""][tabindex=""0""]' → sprawdź getAttribute('aria-label') na każdym → 2 elementy zwracają null"
INST-11	PASS	"html[lang]=""pl-PL"" ✅, landmarks: main + banner + contentinfo + 6×nav ✅, dokładnie 1 H1 (""Wyszukaj instytucje w Rejestrze"") ✅, 8 headings bez skip levels ✅, licznik ""Znaleziono"" ma aria-live=""assertive"" ✅ (choć ""polite"" byłoby WCAG best-practice)"	-	-	-
INST-12	NOT RUN	Wymaga wykonania manualnego przez testera (patrz Kroki w cases sheet)	-	-	-
INST-13	NOT RUN	Wymaga wykonania manualnego przez testera (patrz Kroki w cases sheet)	-	-	-
INST-14	NOT RUN	Wymaga wykonania manualnego przez testera (patrz Kroki w cases sheet)	-	-	-
