ID	Tytuł	Priorytet	Warunki wstępne	Dane testowe	Kroki	Oczekiwany rezultat	Wynik	ID buga	Notatki
INST-01	Deep-link z filtrem i paginacją restoruje pełny widok	P1 · Krytyczny	Użytkownik nigdy wcześniej nie wchodził na tę stronę w bieżącej sesji, cookie banner zaakceptowany	URL: https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=20&search=Akademia	1) Otwórz podany URL bezpośrednio w nowej karcie	"Search input pokazuje wartość ""Akademia"", licznik ""Znaleziono"" pokazuje 571, paginator pokazuje ""21-40 z 571"", pierwszy wiersz ma indeks 21"	PASS	-	-
INST-02	Wyszukiwanie małą literą z polskimi znakami znajduje wielką	P2 · Wysoki	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	"search: ""łódź"" (lowercase z polskimi diakrytykami)"	1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0&search=%C5%82%C3%B3d%C5%BA	"Licznik ""Znaleziono"" pokazuje > 0, każdy widoczny wiersz zawiera nazwę z ""Łódź"" lub ""Łodzi"" (case-insensitive match z zachowaniem diacritics)"	PASS	-	-
INST-03	Deep-link do posortowanego widoku (?sort=-name) restoruje sort desc	P1 · Krytyczny	Użytkownik nigdy wcześniej nie wchodził na tę stronę w bieżącej sesji	URL: https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0&sort=-name	1) Otwórz podany URL bezpośrednio w nowej karcie	"Pierwszy wiersz tabeli to nazwa zaczynająca się od Z/Ż/Ź (koniec alfabetu), wskaźnik sortowania w nagłówku ""Nazwa"" pokazuje malejąco"	FAIL	-	URL param sort=-name jest ignorowany przy początkowym load — apka renderuje default sort ascending. Sort desc działa TYLKO po ręcznym kliknięciu nagłówka. Deep-linking do posortowanego widoku nie działa (bug URL-state)
INST-04	Sort desc zwraca polskie nazwy w kolejności polskiego alfabetu (Ż > Z > Y…)	P3 · Niski	Sort desc jest aktywny (po kliknięciu nagłówka Nazwa)	-	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0 2) Kliknij nagłówek kolumny ""Nazwa"" żeby przełączyć sort na desc"	Pierwsze wiersze zawierają nazwy zaczynające się od Ż/Ź (jeśli takie istnieją w bazie), przed nazwami na Z	BLOCKED	-	"Baza (2605 wpisów) nie zawiera nazw zaczynających się od Ż ani Ź — sprawdzone przez search po fragmencie ""Ż"" (21 wyników, żaden nie startuje z Ż). Nie da się zweryfikować polskiego sort-u bez danych. Rekomendacja: zapytaj backend team czy taki edge-case jest brany pod uwagę"
INST-05	Wyszukiwanie fragmentu z cudzysłowem nie łamie zapytania	P1 · Krytyczny	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	"search: ""Dobre Imprezy"" (z cudzysłowami)"	1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0&search=%22Dobre+Imprezy%22	"Licznik ""Znaleziono"" pokazuje 1, jedyny wiersz to ""Dobre Imprezy"" Andrzej Prusisz, brak console errors, brak crash"	PASS	-	-
INST-06	Wyszukiwanie fragmentu ze średnikiem nie łamie zapytania	P1 · Krytyczny	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	"search: ""; Filia"" (ze średnikiem)"	1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0&search=%3B+Filia	"Licznik ""Znaleziono"" pokazuje > 0, każdy widoczny wiersz zawiera średnik w nazwie, brak console errors, brak crash"	PASS	-	-
INST-07	Pagination boundary: offset >> total pokazuje empty state	P2 · Wysoki	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	URL: https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=99999	1) Otwórz podany URL bezpośrednio	"Strona nie crashuje, tabela renderuje ""Brak danych"", paginator pokazuje sensowne wartości (np. ""0 z 2605"" lub redirect na ostatnią stronę)"	FAIL	-	"Empty state jest pokazany poprawnie (""Brak danych""), URL auto-klamped z 99999 do 99980. ALE paginator wyświetla nonsensowną wartość: ""99981-2605 z 2605"" (start > end). Bug UX/wyświetlania — powinno pokazywać ""Ostatnia strona"" lub redirect. Screenshot: RUN3-INST-07.png"
INST-08	Zmiana limit przy głębokim offset zachowuje pozycję	P2 · Wysoki	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	URL: https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=50&offset=200	1) Otwórz podany URL bezpośrednio	"Tabela pokazuje 50 wierszy zaczynając od indeksu 201, paginator pokazuje ""201-250 z 2605"", combobox rows-per-page pokazuje ""50"""	PASS	-	-
INST-09	Excel export zawiera te same rekordy co widok filtrowany	P1 · Krytyczny	"Widok filtrowany search=Akademia daje 571 wyników wg licznika ""Znaleziono"""	"search: ""Akademia"""	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0&search=Akademia 2) Kliknij przycisk ""Pobierz listę instytucji w pliku Excel"" 3) Otwórz pobrany plik lista_instytucji.xlsx"	"Plik Excel zawiera 571 wierszy danych (odpowiadając licznikowi w widoku), każdy wiersz ma ""Akademia"" w nazwie"	FAIL	-	"Rozjazd danych: widok pokazuje 571 wyników, plik zawiera 466 wierszy. Wszystkie 466 mają ""Akademia"" w nazwie (100%), ale 105 rekordów widocznych w wyszukiwarce nie trafiło do exportu. Naruszenie zasady best-practices: ""Exported content matches the currently filtered view"". Evidence: qa-runs/screenshots/RUN3-INST-09-export.xlsx"
INST-10	Browser Back cofnie widok do poprzedniego URL-state	P2 · Wysoki	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	-	1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0 2) Zmień URL na ?limit=20&offset=0&search=Akademia (nowa nawigacja) 3) Kliknij Back w przeglądarce	URL wraca do stanu bez search=Akademia, search input jest pusty, licznik pokazuje 2605	PASS	-	-
