ID	Tytuł	Priorytet	Warunki wstępne	Dane testowe	Kroki	Oczekiwany rezultat	Wynik	ID buga	Notatki
INST-01	Wyszukiwanie po nazwie zwraca dopasowanie	P1 · Krytyczny	Użytkownik jest na stronie wyszukiwarki, cookie banner zaakceptowany, brak aktywnych filtrów	"nazwa: ""Akademia Bialska"""	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) W pole ""Wyszukaj po nazwie lub fragmencie nazwy"" wpisz ""Akademia Bialska""
3) Kliknij ikonę wyszukiwania"	Lista wyników zawiera co najmniej 1 wiersz, pierwszy wiersz zawiera nazwę zgodną z zapytaniem	PASS	-	-
INST-02	"Filtr ""Instytucja certyfikująca (IC)"" zawęża listę wyników"	P1 · Krytyczny	Użytkownik jest na stronie wyszukiwarki z licznikiem 2605, brak aktywnych filtrów	-	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) W sekcji ""Filtry"" → ""Zadania w ZSK"" zaznacz checkbox ""Instytucja certyfikująca (IC)"""	"URL zawiera parametr roles=1, licznik ""Znaleziono"" pokazuje wartość mniejszą niż 2605, w ""Aktywnych filtrach"" pojawia się chip ""Instytucja certyfikująca (IC)"""	PASS	-	-
INST-03	"Filtr ""Kategoria kwalifikacji"" (np. wolnorynkowe) zawęża listę"	P1 · Krytyczny	Użytkownik jest na stronie wyszukiwarki z licznikiem 2605, brak aktywnych filtrów	-	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) W sekcji ""Filtry"" → ""Kategoria kwalifikacji"" → ""Edukacja pozaformalna"" zaznacz checkbox ""wolnorynkowe"""	"URL zawiera parametr qualification_categories=5, licznik ""Znaleziono"" spada z 2605, w ""Aktywnych filtrach"" pojawia się chip ""wolnorynkowe"""	PASS	-	-
INST-04	"Filtr ""Siedziba instytucji certyfikującej"" po nazwie miejscowości zawęża listę"	P2 · Wysoki	Użytkownik jest na stronie wyszukiwarki z licznikiem 2605, brak aktywnych filtrów	"miejscowość: ""Warszawa"""	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) W sekcji ""Filtry"" → ""Siedziba instytucji certyfikującej"" wpisz w combobox ""Warszawa""
3) Z dropdown wybierz opcję ""Warszawa"""	"URL zawiera parametr cities=Warszawa, licznik ""Znaleziono"" spada z 2605 do wartości reprezentującej instytucje z siedzibą w Warszawie, chip ""Warszawa"" widoczny w ""Aktywnych filtrach"""	PASS	-	-
INST-05	Klik w nazwę instytucji otwiera stronę profilu z jej danymi	P1 · Krytyczny	"Użytkownik widzi listę wyników z co najmniej 1 instytucją (np. po wyszukiwaniu ""Akademia Bialska"")"	"instytucja: ""Akademia Bialska im. Jana Pawła II"""	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0&search=Akademia+Bialska
2) Kliknij link z nazwą pierwszej instytucji w tabeli"	URL zmienia się na /wyszukiwarka-instytucji/instytucje/<slug>,<id>, otwiera się widok profilu z nazwą instytucji jako heading H1 i danymi kontaktowymi (NIP/KRS, adres siedziby)	PASS	-	-
INST-06	Ponowne wyszukiwanie z dodanymi filtrami łączy wszystkie warunki (AND)	P2 · Wysoki	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	"search: ""Akademia"", filtr IC, miejscowość: ""Warszawa"""	1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0&search=Akademia&roles=1&cities=Warszawa	"Licznik ""Znaleziono"" pokazuje wartość mniejszą niż każdy filtr osobno (30 zamiast 571 dla search, 579 dla IC, 350 dla Warszawa), ""Aktywne filtry"" pokazują 3 chipy (Akademia, IC, Warszawa), pierwszy wiersz to instytucja pasująca do wszystkich warunków"	PASS	-	-
INST-07	Wyszukiwanie ciągu bez dopasowań pokazuje empty state	P2 · Wysoki	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	"search: ""xyzq-nonexistent"""	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) W pole wyszukiwania wpisz ciąg gwarantujący brak dopasowań
3) Kliknij ikonę wyszukiwania"	"Licznik ""Znaleziono"" pokazuje 0, tabela zawiera 1 wiersz z tekstem ""Brak danych"", brak console errors"	PASS	-	-
INST-08	Wyszukiwanie z polskimi diakrytykami, cudzysłowem i mieszaną wielkością liter w jednym query	P3 · Niski	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	"search: `""akademia"" Łódź` — łączy cudzysłowy w URL, lowercase ""akademia"", polskie diakrytyki Ł/ó/ź"	1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0&search=%22akademia%22+%C5%81%C3%B3d%C5%BA	"Backend obsługuje wszystkie warunki naraz: znajduje wyniki (> 0), pierwsze wiersze zawierają ""Akademia"" i ""Łodzi"" (case-insensitive match z diacritics, niełamiące cudzysłowy)"	PASS	-	Bundled edge per best-practices (nie enumerujemy per znak)
INST-09	Wartość wstrzyknięta w URL (script tag) jest sanitized, nie wykonana	P3 · Niski	Użytkownik nawiguje z zewnętrznego linku	URL: https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?search=<script>alert(1)</script>	1) Otwórz podany URL bezpośrednio (payload URL-encoded)	"Alert JavaScript NIE zostaje wywołany, search input pokazuje payload jako plain text, licznik ""Znaleziono"" pokazuje 0, brak <script> w innerHTML DOM, brak console errors"	PASS	-	Attack surface XSS — front-end sanitizacja OK
INST-10	Wszystkie interaktywne kontrolki mają accessible name (WCAG 4.1.2)	P2 · Wysoki	Użytkownik jest na stronie wyszukiwarki, brak aktywnych filtrów	-	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) Query przez shadow DOM: wszystkie a, button, input, [role=button], [role=checkbox], [role=combobox], [role=link]
3) Dla każdego sprawdź obecność non-empty accessible name (aria-label, aria-labelledby, textContent, title, alt, placeholder, value)"	100% interaktywnych elementów ma non-empty accessible name (WCAG 4.1.2 Name, Role, Value + 2.4.4 Link Purpose)	FAIL	-	2 z 53 kontrolek (span[role=button][tabindex=0] zawierające tylko SVG ikony) nie mają aria-label — screen reader użytkownik nie wie co robią. Screenshot: INST-10-svg-buttons-no-aria.png
INST-11	Semantic structure + aria-live dla dynamic content (WCAG 1.3.1 + 4.1.3)	P2 · Wysoki	Użytkownik jest na stronie wyszukiwarki	-	"1) Otwórz https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0
2) Sprawdź: html[lang], landmarks (main/banner/contentinfo/nav), heading hierarchy (H1 unique, brak skip levels), aria-live na elemencie z licznikiem ""Znaleziono"""	"html[lang=""pl""] lub ""pl-PL"", 4 podstawowe landmarks obecne, dokładnie 1 H1, headings bez skipów poziomów, aria-live=""polite"" na counter (informational content)"	PASS	-	"Wszystkie warunki spełnione (lang=""pl-PL"", main+banner+contentinfo+6×nav, H1 unique ""Wyszukaj instytucje w Rejestrze"", 8 headings bez skipów). UWAGA: aria-live=""assertive"" na Znaleziono — technicznie działa, ale WCAG best-practice sugeruje ""polite"" dla non-critical informational updates (assertive przerywa aktywne screen-reader announcements)"
INST-12	MANUAL WCAG 2.2 AA — Perceivable (kontrast, reflow, resize, info-by-color)	P2 · Wysoki	Tester ma otwarty Chrome/Edge z zainstalowanym rozszerzeniem axe DevTools (lub Lighthouse a11y audit)	URL: https://kwalifikacje.gov.pl/wyszukiwarka-instytucji/?limit=20&offset=0	"1) Otwórz podany URL
2) Uruchom axe DevTools → ""Scan ALL of my page"" → sprawdź sekcję ""Color contrast""
3) DevTools → Toggle device toolbar → ustaw responsive 320×256 → sprawdź czy nie ma horizontal scroll i nic nie jest ucięte (reflow 1.4.10)
4) Cmd/Ctrl + ""+"" trzykrotnie żeby ustawić zoom 200% → sprawdź czy tekst się nie przycina, całość funkcjonalna (1.4.4)
5) DevTools → Rendering → Emulate vision deficiencies → ""achromatopsia"" (grayscale) → sprawdź czy status/znaczenie widoczne bez koloru (1.4.1)"	axe raportuje 0 contrast violations (text ≥ 4.5:1, UI ≥ 3:1) LUB znane wyjątki udokumentowane; reflow 320px — brak horizontal scroll, wszystkie interakcje osiągalne; zoom 200% — tekst czytelny, przyciski klikalne; w grayscale wszystkie stany/warnings/success rozpoznawalne (nie tylko przez kolor)	NOT RUN	-	Wymaga manualnej weryfikacji przez testera; przypisz osobę i deadline. Rekomendacja: 30 min pracy.
